duration	srcIP	srcPort	dstIP	avePktSize	stdPktSize	aveIAT	tcpPSeqCnt	tcpAveWinSz	tcpRTTAckTripAve
60.100970760	04	45462	162.247.241.14	0	1460	0	0x00000000_0x00000000	8030	2.2464e-05
60.100250551	ca	addresses"	443	0	920	0	0x00000000_0x00000000	920	5.2e-06
48.996860337	04	42658	162.247.241.14	0	1445	0	0x00000000_0x00000000	1445	4.8177e-05
48.996780636	ca	addresses"	443	0	876	0	0x00000000_0x00000000	876	1.29e-05
44.735611037	04	54514	108.139.134.104	26.48529	145.4024	0.3289384	101	5.16292	0.001576522
44.723041212	us	10.49.10.60	04	1404.93	313.9439	0.1638207	217	75263.99	0.3274073
0.261749587	04	55662	142.251.128.234	1245	141.8571	0.1025488	3056105269	64240	0.1025293
0.214653203	us	443	10.49.10.60	768	90.125	0.05390046	3677849467	65535	0.001614784
5.343324279	04	50572	95.101.93.110	1277	125.5455	5.142311	1780023686	64240	0.03615082
5.309038304	fr	443	10.49.10.60	287	64.55556	5.21841	2168845167	64240	5.184469
0.281454571	04	52604	172.217.29.194	668	72.08334	0.1035725	2981596677	64240	0.1035284
0.228363211	us	443	10.49.10.60	1521	554.4445	0.06785699	2636227727	65535	0.02010696
5.282224139	04	35184	108.139.110.118	124.6667	269.4622	0.5869138	8	64142.14	0.01269637
5.270216580	us	10.49.10.60	04	67.33334	81.4873	0.8783695	6	68091.52	1.16716
0.265842644	04	46408	74.119.117.4	665	83.125	0.1009622	3504120959	64240	0.1009309
0.164899557	us	443	10.49.10.60	1460	642.8	0.1033506	4136250680	64240	0.06486346
0.264628463	04	46418	74.119.117.4	665	83.125	0.1010556	3257646437	64240	0.1010284
0.163589738	us	443	10.49.10.60	1460	642.6	0.1041562	1928847731	64240	0.06288636
0.268995228	04	46438	74.119.117.4	665	83.125	0.1000021	2571845475	64240	0.09998631
0.168984446	us	443	10.49.10.60	1460	642.4	0.1047687	1507296593	64240	0.06949003
